Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Int,Sk,College/Univ,
287,2011,6,185,Greg Jones\JoneGr02,LB,22,NYG,2011,2012,0,0,0,3,22,5,,,Michigan St.,College Stats
288,2011,6,186,D.J. Smith\SmitD.00,LB,22,GNB,2011,2014,0,0,0,6,24,9,1,2.0,Appalachian St.,
289,2011,6,189,Mike Mohamed\MohaMi00,LB,23,DEN,2011,2015,0,0,0,4,26,2,1,,California,College Stats
290,2011,6,193,Brian Rolle\RollBr00,LB,22,PHI,2011,2012,0,0,1,6,20,13,,1.0,Ohio St.,College Stats
291,2011,6,194,Markell Carter\CartMa01,LB,21,NWE,,,0,0,0,,,,,,Central Arkansas,
292,2011,6,195,J.T. Thomas\ThomJ.02,LB,23,CHI,2012,2017,0,0,2,12,62,23,2,0.5,West Virginia,College Stats
293,2011,6,200,Ross Homan\HomaRo00,LB,24,MIN,,,0,0,0,,,,,,Ohio St.,College Stats
294,2011,6,202,Jacquian Williams\WillJa02,LB,23,NYG,2011,2014,0,0,1,13,51,22,,2.0,South Florida,College Stats
295,2011,7,228,Jabara Williams\WillJa12,LB,22,STL,2011,2012,0,0,0,0,7,0,,,S.F. Austin,
296,2011,7,234,Andrew Gachkar\GachAn00,LB,22,SDG,2011,2017,0,0,0,9,101,9,,2.0,Missouri,College Stats
297,2011,7,237,Greg Lloyd\LloyGr01,LB,22,PHI,2012,2012,0,0,0,0,2,0,,,Connecticut,College Stats
298,2011,7,242,Malcolm Smith\SmitMa02,LB,22,SEA,2011,2019,0,0,2,30,104,52,4,6.0,USC,College Stats
299,2011,7,243,Nate Bussey\BussNa00,LB,22,NOR,2011,2011,0,0,0,0,1,0,,,Illinois,College Stats
300,2010,1,8,Rolando McClain\McClRo00,LB,21,OAK,2010,2015,0,0,5,26,65,61,4,9.5,Alabama,College Stats
