Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Int,Sk,College/Univ,
103,2015,6,192,Darius Philon\PhilDa01,DT,21,SDG,2015,2018,0,0,0,13,54,19,,9.5,Arkansas,College Stats
104,2015,6,199,Leterrius Walton\WaltLe00,DT,23,PIT,2015,2018,0,0,0,3,36,4,,2.0,Central Michigan,College Stats
105,2015,6,203,Darius Kilgo\KilgDa01,NT,23,DEN,2015,2018,0,0,0,3,29,0,,,Maryland,College Stats
106,2015,6,214,Kristjan Sokoli\SokoKr00,DT,23,SEA,2015,2015,0,0,0,0,1,0,,,Buffalo,College Stats
107,2015,6,216,Christian Covington\CoviCh00,DT,21,HOU,2015,2019,0,0,0,12,66,15,,8.5,Rice,College Stats
108,2015,6,217,Rakeem Nunez-Roches\NuneRa00,DT,22,KAN,2015,2019,0,0,1,10,53,16,,1.5,Southern Miss,College Stats
109,2015,7,223,Deon Simon\SimoDe00,NT,25,NYJ,2016,2016,0,0,0,2,16,1,,1.5,NW State (LA),
110,2014,1,13,Aaron Donald\DonaAa00,DT,23,STL,2014,2019,5,6,6,80,94,90,,72.0,Pittsburgh,College Stats
111,2014,1,29,Dominique Easley\EaslDo00,DT,22,NWE,2014,2018,0,0,0,7,41,6,1,6.5,Florida,College Stats
112,2014,2,37,Ra'Shede Hageman\HageRa00,DT,24,ATL,2014,2016,0,0,1,8,44,16,,4.0,Minnesota,College Stats
113,2014,2,48,Timmy Jernigan\JernTi00,DT,21,BAL,2014,2019,0,0,4,25,71,53,1,17.5,Florida St.,College Stats
114,2014,2,51,Ego Ferguson\FergEg00,DT,22,CHI,2014,2015,0,0,0,2,20,1,,2.0,LSU,College Stats
115,2014,3,74,Jay Bromley\BromJa00,DT,22,NYG,2014,2018,0,0,0,7,57,4,,2.0,Syracuse,College Stats
116,2014,3,82,Will Sutton\SuttWi00,DT,22,CHI,2014,2016,0,0,2,9,36,18,,,Arizona St.,College Stats
117,2014,3,83,Louis Nix\NixILo00,DT,23,HOU,2014,2015,0,0,0,0,4,0,,,Notre Dame,College Stats
118,2014,3,85,Khyri Thornton\ThorKh00,DT,24,GNB,2014,2017,0,0,0,3,23,6,,1.0,Southern Miss,College Stats
119,2014,4,107,Justin Ellis\ElliJu01,DT,23,OAK,2014,2019,0,0,3,19,70,42,,0.5,Louisiana Tech,College Stats
120,2014,4,112,DaQuan Jones\JoneDa04,DT,22,TEN,2014,2019,0,0,5,33,83,77,,7.0,Penn St.,College Stats
121,2014,4,134,Brent Urban\UrbaBr00,DT,23,BAL,2014,2019,0,0,1,14,54,19,,3.5,Virginia,College Stats
122,2014,5,158,Caraun Reid\ReidCa00,DT,22,DET,2014,2019,0,0,1,9,47,16,,3.5,Princeton,
123,2014,5,165,Ryan Carrethers\CarrRy00,DT,23,SDG,2014,2016,0,0,0,3,24,3,,,Arkansas St.,College Stats
124,2014,5,172,Jimmy Staten\StatJi00,DT,23,SEA,2014,2014,0,0,0,0,0,,,,Middle Tenn. St.,
125,2014,6,210,IK Enemkpali\EnemIK00,DT,23,NYJ,2014,2015,0,0,0,1,17,0,,,Louisiana Tech,College Stats
126,2014,6,215,Daniel McCullers\McCuDa00,DT,22,PIT,2014,2019,0,0,0,5,73,3,,2.5,Tennessee,College Stats
127,2014,7,220,Shamar Stephen\StepSh00,DT,23,MIN,2014,2019,0,0,3,25,82,49,,4.0,Connecticut,College Stats
128,2014,7,224,Beau Allen\AlleBe00,DT,22,PHI,2014,2019,0,0,1,13,90,16,,2.5,Wisconsin,College Stats
129,2014,7,251,Ken Bishop\BishKe01,DT,23,DAL,2014,2015,0,0,0,0,5,0,,,Northern Illinois,College Stats
130,2013,1,13,Sheldon Richardson\RichSh00,DT,22,NYJ,2013,2019,0,1,7,55,105,102,1,26.5,Missouri,College Stats
131,2013,1,14,Star Lotulelei\LotuSt00,DT,23,CAR,2013,2019,0,0,7,44,108,107,1,13.5,Utah,College Stats
132,2013,1,23,Sharrif Floyd\FloySh00,DT,21,MIN,2013,2016,0,0,2,13,44,24,,9.5,Florida,College Stats
133,2013,1,28,Sylvester Williams\WillSy00,DT,24,DEN,2013,2019,0,0,4,29,94,63,,5.5,North Carolina,College Stats
134,2013,2,44,Kawann Short\ShorKa00,DT,24,CAR,2013,2019,0,2,5,40,96,73,,32.5,Purdue,College Stats
135,2013,2,49,Johnathan Hankins\HankJo00,DT,21,NYG,2013,2019,0,0,6,39,98,86,,13.5,Ohio St.,College Stats
136,2013,3,67,Bennie Logan\LogaBe00,DT,23,PHI,2013,2018,0,0,5,32,89,63,,7.0,LSU,College Stats
137,2013,3,82,John Jenkins\JenkJo00,DT,24,NOR,2013,2019,0,0,1,14,82,29,,2.5,Georgia,College Stats
138,2013,3,87,Jordan Hill\HillJo01,DT,22,SEA,2013,2016,0,0,0,6,31,1,1,7.0,Penn St.,College Stats
139,2013,3,94,Brandon Williams\WillBr02,DT,24,BAL,2013,2019,0,1,6,44,97,88,,6.5,Missouri Southern,
